,USER_ID,AVG_PERC,MAX_PERC,TOP3_AVG,NMOCKS,ATT,OK,ACC,AVG_ATT
48,1108388,79.90210888,90.17044634,89.01,7,450,299,66.44,64.28571429
49,1110313,40.77372589,83.76068376,63.04,13,679,384,56.55,52.23076923
51,1113768,62.74081989,92.05128205,81.45,15,911,552,60.59,60.73333333
52,1116676,52.39580083,64.65297557,60.3,7,385,221,57.4,55
53,1117784,45.04151307,60.27754415,57.69,13,630,376,59.68,48.46153846
58,1128676,71.14121391,91.07336465,89.36,13,766,493,64.36,58.92307692
59,1130202,83.45913807,96.2010689,92.81,11,710,504,70.99,64.54545455
60,1130561,68.71085527,96.9389225,90.57,10,607,402,66.23,60.7
61,1132851,25.79000323,40.59002239,35.6,6,239,136,56.9,39.83333333
62,1133480,78.51599095,90.11392595,89.48,14,806,574,71.22,57.57142857
65,1135725,27.84236805,38.3251634,34.52,5,186,107,57.53,37.2
66,1136975,96.95888476,99.25610285,99.05,6,429,334,77.86,71.5
67,1137039,34.84959263,54.92653414,46.85,8,305,206,67.54,38.125
68,1137975,31.07120574,62.0405311,38.48,4,172,100,58.14,43
69,1138603,29.78330783,49.2804677,37.39,5,187,110,58.82,37.4
70,1158551,73.21174168,90.23907963,86.67,6,363,255,70.25,60.5
71,1166100,95.89407424,99.25746444,99.13,10,723,550,76.07,72.3
72,1167246,69.22504145,82.61591795,81.64,14,894,546,61.07,63.85714286
73,1167254,54.65078566,73.10573322,67.02,9,388,274,70.62,43.11111111
75,1167906,56.81348179,82.05450734,76.07,8,424,250,58.96,53
76,1167953,77.43371088,98.0293501,93.23,10,667,429,64.32,66.7
77,1169153,91.63005032,95.97339565,95.74,10,668,478,71.56,66.8
78,1170908,80.57050769,97.31674412,92.02,14,847,595,70.25,60.5
79,1172031,55.51879872,90.17044634,76.96,13,621,421,67.79,47.76923077
80,1176047,56.44522126,90.17044634,85.2,10,602,349,57.97,60.2
81,1176686,47.75770179,66.73148948,63.82,11,555,330,59.46,50.45454545
83,1182905,43.32432666,57.6051274,54.4,5,215,142,66.05,43
84,1183546,74.87507665,99.32043492,87.13,6,393,272,69.21,65.5
86,1186253,91.39919321,99.85009744,99.82,7,510,380,74.51,72.85714286
87,1189552,49.98987241,61.13511956,52.07,4,195,114,58.46,48.75
88,1190552,78.46532675,97.13274592,94.19,13,848,555,65.45,65.23076923
89,1191489,79.39535462,94.08106219,93.53,13,815,553,67.85,62.69230769
91,1193547,74.24153554,90.17044634,85.88,10,573,388,67.71,57.3
92,1194631,59.85998092,86.64138222,83.92,15,833,523,62.79,55.53333333
93,1198619,77.28069535,96.30924631,89.12,11,687,435,63.32,62.45454545
94,1199166,79.91338419,89.69980226,87.73,10,599,420,70.12,59.9
95,1199620,64.19454537,82.12411932,78.41,10,475,355,74.74,47.5
96,1199729,85.07609736,94.94940369,93.76,15,990,675,68.18,66
97,1199750,82.47452883,93.75,93.19,13,766,550,71.8,58.92307692
98,1201784,60.5802635,80.17676768,74.78,7,342,236,69.01,48.85714286
100,1202680,23.88267874,39.42276943,33.95,10,425,238,56,42.5
101,1205383,67.8016482,88.74320435,86.17,15,946,588,62.16,63.06666667
103,1206382,74.85613839,90.17044634,85.16,9,533,364,68.29,59.22222222
104,1206573,64.06986294,87.27272727,80.58,9,486,313,64.4,54
105,1207264,62.38028757,84.20026008,76.37,10,577,360,62.39,57.7
106,1207280,92.93056145,97.83990753,96.84,11,759,557,73.39,69
107,1207746,86.3466846,97.10688053,92.59,6,338,259,76.63,56.33333333
109,1209181,51.68946958,69.41633538,65.42,12,588,380,64.63,49
110,1211339,38.64571581,60.96681097,54.29,11,545,289,53.03,49.54545455
112,1215290,64.7253167,83.54940939,81.21,9,515,328,63.69,57.22222222
113,1215882,59.67469131,82.96551724,77.4,15,765,512,66.93,51
114,1219137,26.31191691,51.76645302,29.65,4,197,101,51.27,49.25
115,1219910,72.51713086,88.87334887,87.19,12,699,477,68.24,58.25
116,1221017,76.84084517,92.19165234,88.75,11,678,439,64.75,61.63636364
117,1221332,58.67727979,73.64086984,64.01,5,274,189,68.98,54.8
118,1221913,83.63982421,95.6044724,95.2,14,1015,615,60.59,72.5
119,1224328,68.51624938,83.12091503,82.82,12,750,465,62,62.5
120,1226166,80.05108697,93.23270259,91.74,11,690,451,65.36,62.72727273
121,1232806,60.55358903,86.18492618,80.72,12,675,430,63.7,56.25
122,1236611,47.04552615,66.73148948,60.99,7,362,211,58.29,51.71428571
125,1241527,88.86866221,97.88961039,96.02,14,1057,676,63.95,75.5
126,1242735,79.84278662,94.79256698,92.26,15,911,638,70.03,60.73333333
128,1246206,30.45755375,48.85132206,41.68,10,459,250,54.47,45.9
130,1246750,57.24098676,87.89253817,76.49,7,486,265,54.53,69.42857143
132,1248814,89.3780832,98.38942655,96.53,14,926,660,71.27,66.14285714
133,1248915,31.85344342,56.80364567,47.88,11,438,281,64.16,39.81818182
134,1249306,91.20826784,99.73798338,98.18,11,825,559,67.76,75
135,1249683,48.64282317,73.99891775,68.15,13,485,365,75.26,37.30769231
137,1251373,24.77789906,36.85161104,34.02,8,293,169,57.68,36.625
138,1251762,61.21205171,77.54586162,76.32,11,564,384,68.09,51.27272727
140,1252718,76.74114585,96.78921569,94.44,13,838,553,65.99,64.46153846
141,1253032,84.78476477,97.90356394,92.31,6,332,260,78.31,55.33333333
142,1253711,66.0560299,71.72413793,67.29,4,232,150,64.66,58
143,1254105,65.00097893,91.74703005,87.71,12,700,434,62,58.33333333
144,1254784,45.84744609,86.68115725,61.97,7,342,196,57.31,48.85714286
145,1255633,59.58705668,83.38744589,81.41,9,655,343,52.37,72.77777778
